fid;DI_2018;DI_2019;DI_2020;DI_2021;DI_2022;DI_2023;EVI_2018;EVI_2019;EVI_2020;EVI_2021;EVI_2022;EVI_2023;G_2018;G_2019;G_2020;G_2021;G_2022;G_2023;LL_2019;LL_2021;LL_2022;LL_2023;MSI_2018;MSI_2019;MSI_2020;MSI_2021;MSI_2022;MSI_2023;NDII_2018;NDII_2019;NDII_2020;NDII_2021;NDII_2022;NDII_2023;NDVI_2018;NDVI_2019;NDVI_2020;NDVI_2021;NDVI_2022;NDVI_2023;NDWI_2018;NDWI_2019;NDWI_2020;NDWI_2021;NDWI_2022;NDWI_2023;NIR_2018;NIR_2019;NIR_2020;NIR_2021;NIR_2022;NIR_2023;SWIR1_2018;SWIR1_2019;SWIR1_2020;SWIR1_2021;SWIR1_2022;SWIR1_2023;SWIR2_2018;SWIR2_2019;SWIR2_2020;SWIR2_2021;SWIR2_2022;SWIR2_2023
65;0.082475359;-0.950527217;-0.005714914;1.84E-04;-0.165771301;0.251669771;0.383106276;0.449268342;0.329701505;0.515422558;0.454940162;0.475021831;0.042564591;0.040812063;0.043193579;0.052645914;0.040394746;0.039850974;100;100;100;100;0.877578916;0.679435366;0.854420105;0.613416808;0.706678673;0.6433;0.07145662;0.191142609;0.082593662;0.239773091;0.174207056;0.218317064;0.716280512;0.745746928;0.65329112;0.753367487;0.768650818;0.818605026;-0.685068461;-0.699190529;-0.630527719;-0.690835517;-0.741503211;-0.748848401;0.240308178;0.251710307;0.207842026;0.293500391;0.272596692;0.264229185;0.183126847;0.170590076;0.164465565;0.159503503;0.184972372;0.172837166;0.108627623;0.094358753;0.106624707;0.086407394;0.10919883;0.094375871
66;0.049174899;-0.726071708;-0.043668928;-0.226408272;-0.212128916;0.119135107;0.507184477;0.510113445;0.445123228;0.649933373;0.572352573;0.589175851;0.04460307;0.040826792;0.046203071;0.052383275;0.045800854;0.042620818;75;95;95;90;0.60838276;0.522765837;0.644470261;0.471609948;0.519325326;0.486265819;0.24357016;0.313472202;0.216223869;0.359070284;0.31649574;0.345702553;0.786562799;0.805608338;0.732418799;0.819929107;0.800451507;0.840116031;-0.745091941;-0.756088701;-0.679290154;-0.757142155;-0.758748196;-0.776608857;0.315928332;0.290603605;0.257723723;0.365993853;0.348227137;0.351221344;0.172670305;0.166415029;0.161255292;0.163273381;0.176329358;0.169875599;0.091212625;0.087095564;0.096540443;0.087137204;0.094497271;0.087038049
67;0.084055988;-0.530939433;0.006346473;-0.185133645;-0.161898614;0.071125899;0.550043985;0.532762756;0.459456049;0.639385957;0.564412972;0.561127251;0.044651428;0.042035716;0.046251429;0.050545714;0.045027144;0.042161427;75;100;100;100;0.571936389;0.540211942;0.623403215;0.485209383;0.525774751;0.508540951;0.273046174;0.298732487;0.232205377;0.346732156;0.310894171;0.326120552;0.805702252;0.806881765;0.736149095;0.819646411;0.808842043;0.833017542;-0.757322761;-0.755917406;-0.685419096;-0.754692578;-0.761396565;-0.770367476;0.338414288;0.300105727;0.265968573;0.365897138;0.339208577;0.331878574;0.176925712;0.169800012;0.162125716;0.167577146;0.175217152;0.167917144;0.088262855;0.085451431;0.092454284;0.084574288;0.091305715;0.083701424
68;0.179303065;0.130337536;-0.085126609;-0.094301328;-0.292810827;-0.459706187;0.526558459;0.457114995;0.472997308;0.570534825;0.55597949;0.487019539;0.0403;0.03915;0.039000001;0.042399999;0.0416;0.036700003;50;95;90;90;0.570279837;0.621915102;0.565330029;0.521853149;0.52538538;0.618416071;0.273658335;0.233110785;0.277840018;0.314187258;0.311145902;0.235777408;0.80763793;0.811281383;0.804926217;0.827072978;0.833901525;0.80651772;-0.746217966;-0.743325412;-0.747186124;-0.757758379;-0.775696635;-0.763622403;0.301099986;0.255599976;0.264299989;0.317600012;0.321200013;0.267049998;0.170200005;0.161300004;0.159099996;0.160099998;0.17019999;0.161449999;0.079099998;0.07745;0.075149998;0.0744;0.077800006;0.07525
69;-0.139723952;-0.350996441;0.088638756;-0.306516987;-0.193367225;0.006804337;0.602480376;0.558278331;0.542012279;0.654166702;0.603237423;0.614056761;0.044676162;0.038087793;0.045674999;0.047292442;0.04299244;0.03813343;25;10;25;30;0.539335091;0.523050606;0.558658928;0.516714637;0.526394801;0.509910731;0.299315016;0.313276368;0.283163016;0.318714515;0.310437253;0.324892121;0.843018688;0.858399099;0.819892491;0.868215021;0.854759327;0.877709376;-0.77333785;-0.787667921;-0.748974124;-0.775255794;-0.772546632;-0.79989671;0.356507565;0.316463663;0.304566558;0.367522103;0.345297099;0.334651143;0.183341285;0.168475288;0.167352035;0.183049995;0.186109302;0.17138953;0.088015697;0.076713375;0.079625293;0.080502905;0.087866864;0.074700877
70;-0.288023832;-0.397764055;0.445785078;-0.481168443;-0.240020284;-0.093895086;0.578436535;0.561038966;0.520101152;0.645025901;0.609344395;0.613896297;0.039209188;0.034834807;0.042015369;0.04506325;0.039924736;0.034216429;25;10;10;30;0.566767249;0.528337815;0.582561129;0.529922579;0.522548934;0.517204105;0.27664595;0.308630838;0.263874753;0.307301514;0.313613369;0.318255941;0.85780474;0.867213042;0.822751239;0.872241299;0.864063646;0.885382711;-0.780730908;-0.805617909;-0.754225508;-0.785515259;-0.792299419;-0.810126351;0.337095057;0.31229186;0.291129862;0.34756043;0.349869274;0.337220472;0.182600006;0.168249995;0.1664;0.181799993;0.183899999;0.169499993;0.087099999;0.076350003;0.079400003;0.079499997;0.086050004;0.073400006
71;-0.338707924;-0.415659666;0.537565291;-0.536416292;-0.241208076;-0.121727802;0.572680414;0.56122148;0.514947414;0.642703235;0.610286057;0.612489879;0.037900001;0.034150001;0.041249998;0.044599999;0.039250001;0.033299997;25;10;20;20;0.574712634;0.531196415;0.588821888;0.534451604;0.522459507;0.521474838;0.270072997;0.306169033;0.258819044;0.303397238;0.313664019;0.314513981;0.861253023;0.868679702;0.823212922;0.872825027;0.865782559;0.886763871;-0.782464623;-0.809366405;-0.755052328;-0.787392557;-0.797523975;-0.812199056;0.332100004;0.310599983;0.288300008;0.341800004;0.351400018;0.337149978;0.182600006;0.168249995;0.1664;0.181799993;0.183899999;0.169499993;0.087099999;0.076350003;0.079400003;0.079499997;0.086050004;0.073400006
72;-0.449353576;-0.493215501;0.128353283;-0.56759733;0.053260956;-0.049966194;0.609661758;0.546300888;0.550697088;0.653764725;0.589282036;0.582211494;0.046300001;0.041250002;0.049350001;0.049600001;0.045299999;0.039799999;25;10;70;50;0.563270211;0.558606327;0.564075351;0.544640183;0.546923637;0.566592216;0.279369354;0.283198327;0.278710783;0.294799924;0.292942524;0.276674002;0.836468875;0.84076637;0.813846588;0.85814935;0.84012413;0.864790082;-0.770285964;-0.769513249;-0.73737222;-0.758696854;-0.778203905;-0.788068831;0.354200006;0.301549971;0.317600012;0.350600004;0.354099989;0.317900002;0.187700003;0.169800013;0.17295;0.190400004;0.199100003;0.182500005;0.093400002;0.078850001;0.080949999;0.086400002;0.098549999;0.082350001
73;-0.051384337;-0.413782567;-0.02050091;-0.570968211;0.024659604;-0.518571675;0.564023256;0.5242908;0.493947208;0.623493373;0.609602571;0.615450025;0.040199999;0.035549998;0.04225;0.049899999;0.04535;0.045000002;25;60;70;70;0.490617543;0.533034265;0.518202066;0.475925326;0.499974996;0.480235398;0.341725796;0.304606736;0.317511559;0.355082124;0.333366811;0.351136625;0.827425122;0.830418825;0.803640246;0.841943443;0.839444637;0.843812406;-0.767790258;-0.762743413;-0.741140842;-0.764739871;-0.767443061;-0.771246433;0.325300008;0.287499994;0.282900006;0.371699989;0.352699995;0.355100006;0.153099999;0.142100006;0.143449992;0.169200003;0.182500005;0.170599997;0.070500001;0.065849997;0.068000004;0.075199999;0.087899998;0.078050002
74;0.043306194;0.084929101;0.620148063;-0.224731222;0.404216468;0.402897537;0.474596888;0.473317206;0.456646979;0.597521007;0.542752981;0.515094936;0.042100001;0.043699998;0.04575;0.048500001;0.046349999;0.0407;75;95;80;90;0.781672537;0.691862345;0.806999922;0.639030218;0.708881021;0.739241242;0.12254075;0.182368413;0.106807858;0.220233753;0.170530111;0.149926782;0.776082993;0.800079226;0.756150067;0.82231921;0.812321544;0.804963827;-0.740227759;-0.746410489;-0.71139276;-0.739392102;-0.746393204;-0.753684759;0.295399994;0.271650016;0.274250001;0.332199991;0.317600012;0.291099995;0.213300005;0.1972;0.216250002;0.193299994;0.218050003;0.200199991;0.131500006;0.113749996;0.140799999;0.115400001;0.128549993;0.116599999
75;-0.111423507;-0.27069518;0.395950675;-0.013226268;0.020622414;0.281996042;0.551540434;0.449109972;0.451600015;0.621431053;0.561355889;0.568451345;0.044500001;0.043949999;0.0473;0.048799999;0.0471;0.044849999;50;85;72;80;0.691163957;0.742344856;0.738845229;0.570221424;0.621161103;0.563483596;0.182617426;0.148109317;0.150189355;0.273705691;0.233684018;0.279195696;0.808047831;0.754395485;0.756386518;0.818826556;0.814345598;0.826752484;-0.763457954;-0.712176979;-0.698578715;-0.747394264;-0.758112073;-0.754573047;0.332500011;0.260550022;0.26910001;0.3495;0.338450015;0.321799994;0.214200005;0.198899999;0.193100005;0.180500001;0.199600011;0.186149999;0.119199999;0.117799997;0.120049998;0.093900003;0.110300004;0.094899997
76;-0.111423507;-0.27069518;0.395950675;-0.013226268;0.020622414;0.281996042;0.551540434;0.449109972;0.451600015;0.621431053;0.561355889;0.568451345;0.044500001;0.043949999;0.0473;0.048799999;0.0471;0.044849999;50;90;95;90;0.691163957;0.742344856;0.738845229;0.570221424;0.621161103;0.563483596;0.182617426;0.148109317;0.150189355;0.273705691;0.233684018;0.279195696;0.808047831;0.754395485;0.756386518;0.818826556;0.814345598;0.826752484;-0.763457954;-0.712176979;-0.698578715;-0.747394264;-0.758112073;-0.754573047;0.332500011;0.260550022;0.26910001;0.3495;0.338450015;0.321799994;0.214200005;0.198899999;0.193100005;0.180500001;0.199600011;0.186149999;0.119199999;0.117799997;0.120049998;0.093900003;0.110300004;0.094899997
77;-0.010386743;-0.693035364;0.285712481;-0.45483017;-0.069811039;0.211013541;0.673752606;0.657445431;0.58819592;0.70498687;0.714778543;0.689941764;0.043200001;0.03915;0.045199998;0.050299998;0.045500003;0.040799998;25;0;0;0;0.515609026;0.459658623;0.521231771;0.467364103;0.459395051;0.480204701;0.319601566;0.370186239;0.314724207;0.362988234;0.370432317;0.351165831;0.873175383;0.890753925;0.84822464;0.883446395;0.886614382;0.887567461;-0.79774785;-0.80946523;-0.770331025;-0.797511935;-0.809788406;-0.815062165;0.39410001;0.372150004;0.336449981;0.423200011;0.416549981;0.398400009;0.191;0.1655;0.170599997;0.189500004;0.202650011;0.186700001;0.086300001;0.071350001;0.078099996;0.082999997;0.09025;0.080200002
78;-0.297525297;-0.505846401;0.09164299;-0.137970302;0.083011434;0.041052118;0.694125369;0.650873744;0.643532969;0.727365403;0.740976205;0.708518476;0.04688099;0.039442975;0.048417357;0.048726446;0.046330578;0.042967769;0;0;10;0;0.481931252;0.474505337;0.477377896;0.460186565;0.43962409;0.456769966;0.349590365;0.356395556;0.353752157;0.369690836;0.389255971;0.372942228;0.881596139;0.884199878;0.868098559;0.891161397;0.892437685;0.886342072;-0.790089558;-0.804288415;-0.779790075;-0.803243799;-0.81474953;-0.811665724;0.410076031;0.376623957;0.369636791;0.420102481;0.441119834;0.411101246;0.19242149;0.169687601;0.176596278;0.191474385;0.2028186;0.184889252;0.086964461;0.074756196;0.0807781;0.080571072;0.093169009;0.081055785
